"","symbol","company_name","trading_name","isin_code","income_variable","year","value"
"87",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Sales Cost",2019,"255221"
"88",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Sales Cost",2018,"248241"
"89",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Total Income",2021,"48251"
"90",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Total Income",2020,"60167"
"91",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Total Income",2019,"61634"
"92",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Total Income",2018,"54626"
"93",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Other Revenues",2021,"4492"
"94",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Other Revenues",2020,"1980"
"95",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Other Revenues",2019,"3333"
"96",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Other Revenues",2018,"4840"
"97",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Total Revenues",2021,"52743"
"98",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Total Revenues",2020,"62147"
"99",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Total Revenues",2019,"64967"
"100",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Total Revenues",2018,"59466"
"101",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Admin and Marketing Expenses",2021,"33320"
"102",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Admin and Marketing Expenses",2020,"34083"
"103",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Admin and Marketing Expenses",2019,"34673"
"104",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Admin and Marketing Expenses",2018,"29909"
"105",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Depreciation",2021,"8148"
"106",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Depreciation",2020,"5529"
"107",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Depreciation",2019,"2851"
"108",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Depreciation",2018,"2761"
"109",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Other Expenses",2021,"2792"
"110",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Other Expenses",2020,"5140"
"111",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Other Expenses",2019,"6788"
"112",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Other Expenses",2018,"6108"
"113",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Total Expenses",2021,"44260"
"114",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Total Expenses",2020,"44752"
"115",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Total Expenses",2019,"44312"
"116",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Total Expenses",2018,"38778"
"117",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Net Income Before Zakat",2021,"8483"
"118",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Net Income Before Zakat",2020,"17395"
"119",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Net Income Before Zakat",2019,"20655"
"120",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Net Income Before Zakat",2018,"20688"
"121",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Zakat",2021,"3151"
"122",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Zakat",2020,"2620"
"123",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Zakat",2019,"2441"
"124",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Zakat",2018,"2470"
"125",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Net Income",2021,"5332"
"126",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Net Income",2020,"14775"
"127",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Net Income",2019,"18214"
"128",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Net Income",2018,"18218"
"129",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Balance First Period",2021,"31166"
"130",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Balance First Period",2020,"55397"
"131",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Balance First Period",2019,"47904"
"132",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Balance First Period",2018,"41383"
"133",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Reserves",2021,"533"
"134",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Reserves",2020,"1477"
"135",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Reserves",2019,"1821"
"136",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Reserves",2018,"1822"
"137",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Cash Dividends",2021,"-"
"138",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Cash Dividends",2020,"-"
